customer_id,name,email,tenure_months,last_login_days,login_frequency,avg_session_duration,feature_usage_count,monthly_active_days,usage_drop_flag,subscription_type,monthly_charges,payment_failures,discount_applied,support_ticket_count,unresolved_tickets,churn,health_score
CUST0017,Aarishika Gokhale,aarishika.gokhale@gmail.com,40,29,9,75.0,25,15,1,Premium,1340.37,1,0,7,4,0,14
CUST0018,Krienendra Gokhale,krienendra.gokhale@gmail.com,24,14,17,63.3,30,25,0,Standard,548.95,0,0,5,3,0,62
CUST0019,Avivian Ishikawa,avivian.ishikawa@gmail.com,3,26,26,23.3,9,8,0,Premium,1475.93,0,1,4,1,0,66
CUST0020,Surviini Andersson,surviini.andersson@gmail.com,22,50,3,12.3,21,4,0,Standard,696.77,0,0,7,3,0,26
CUST0021,Hareshika Venkataraman,hareshika.venkataraman@gmail.com,53,33,24,18.5,20,15,0,Standard,430.25,0,0,2,2,0,51
CUST0022,Alel Mehra,alel.mehra@gmail.com,2,51,6,31.1,19,28,0,Basic,656.24,0,1,6,3,1,25
CUST0023,Lakarya Basu,lakarya.basu@gmail.com,24,56,5,44.3,19,20,0,Standard,771.23,1,1,1,1,0,26
CUST0024,Devanan Petrescu,devanan.petrescu@gmail.com,44,37,5,48.8,12,25,0,Premium,289.1,0,0,2,4,0,31
CUST0025,Suryaya Haldar,suryaya.haldar@gmail.com,30,32,22,44.8,37,17,1,Standard,950.68,0,0,1,0,0,53
CUST0026,Saiavav Okafor,saiavav.okafor@gmail.com,38,23,15,32.5,42,13,0,Standard,975.92,0,1,4,3,0,53
CUST0027,Aaenendra Balasubramaniam,aaenendra.balasubramaniam@gmail.com,2,14,23,63.6,17,18,0,Premium,1159.61,0,0,6,0,0,86
CUST0028,Maneshav Okafor,maneshav.okafor@gmail.com,21,59,17,99.9,37,2,0,Standard,236.92,0,0,9,3,0,17
CUST0029,Manantesh Suryanarayanan,manantesh.suryanarayanan@gmail.com,33,29,9,37.2,48,13,1,Standard,902.61,0,0,9,3,0,32
CUST0030,Aarenika Mahadevan,aarenika.mahadevan@gmail.com,12,54,3,113.4,39,13,0,Premium,267.78,1,0,0,4,0,10
CUST0031,Manenika Okafor,manenika.okafor@gmail.com,58,41,20,105.4,28,22,0,Standard,1110.49,0,0,9,2,0,43
CUST0032,Anel Fernandes,anel.fernandes@gmail.com,22,50,26,23.6,41,15,1,Basic,271.45,0,1,8,1,0,27
CUST0033,Rajviav Purohit,rajviav.purohit@gmail.com,44,16,17,95.4,35,20,0,Standard,1384.25,0,0,0,1,0,76
CUST0034,Aareshan Fernandes,aareshan.fernandes@gmail.com,25,4,29,71.1,47,29,0,Standard,1111.71,0,0,0,1,0,88
CUST0035,Manitesh Mahadevan,manitesh.mahadevan@gmail.com,49,28,27,70.2,48,27,1,Basic,858.61,2,0,9,2,1,21
CUST0036,Surita Gokhale,surita.gokhale@gmail.com,27,3,10,50.0,18,10,0,Standard,772.96,0,0,7,0,0,97
CUST0037,Niel Almeida,niel.almeida@gmail.com,59,9,3,62.6,14,29,0,Standard,368.87,2,1,5,1,0,63
CUST0038,Nio Fernandes,nio.fernandes@gmail.com,42,55,18,50.7,35,3,0,Basic,577.3,0,0,5,0,0,45
CUST0039,Varilya Venkataraman,varilya.venkataraman@gmail.com,28,16,18,67.1,44,19,0,Standard,1328.65,1,1,8,2,0,58
CUST0040,Manara Dimitrov,manara.dimitrov@gmail.com,16,9,17,77.2,41,3,0,Basic,1374.79,0,0,3,2,0,75
CUST0041,Ariyaika Kowalski,ariyaika.kowalski@gmail.com,15,16,24,82.5,7,22,0,Standard,199.97,1,0,7,4,0,42
CUST0042,Lakyaika Mahadevan,lakyaika.mahadevan@gmail.com,47,59,3,66.2,41,14,0,Premium,971.38,0,1,3,1,0,33
CUST0043,Leia Novak,leia.novak@gmail.com,51,19,3,88.0,13,8,0,Standard,1134.09,0,0,1,4,0,49
CUST0044,Neenaesh Hernandez,neenaesh.hernandez@gmail.com,44,23,6,21.2,18,27,1,Basic,1003.37,1,0,7,1,0,44
CUST0045,Hareshit Novak,hareshit.novak@gmail.com,55,4,13,29.4,37,23,0,Basic,305.18,1,1,6,2,0,70
CUST0046,Viveshav Mensah,viveshav.mensah@gmail.com,52,33,24,99.2,13,4,0,Basic,482.04,0,0,3,2,0,51
CUST0047,Luin Dimitrov,luin.dimitrov@gmail.com,57,5,29,42.1,36,27,1,Standard,524.44,0,1,8,3,0,56
CUST0048,Maon Parameswaran,maon.parameswaran@gmail.com,3,52,15,7.6,31,28,0,Basic,1280.24,0,1,8,3,1,24
CUST0049,Noa Ishikawa,noa.ishikawa@gmail.com,37,1,25,22.7,2,20,0,Standard,801.16,1,0,7,2,0,73
CUST0050,Deveshit Novak,deveshit.novak@gmail.com,51,12,9,30.7,16,11,1,Basic,831.88,0,0,0,2,0,57
CUST0051,Surantya Novak,surantya.novak@gmail.com,7,42,4,115.1,9,26,0,Premium,1414.36,0,0,6,0,0,58
CUST0052,Devishan Fernandes,devishan.fernandes@gmail.com,21,42,14,70.9,9,11,0,Basic,1027.21,1,0,4,0,0,48
CUST0053,Vararesh Kulasekaran,vararesh.kulasekaran@gmail.com,9,47,5,112.3,38,27,1,Basic,1367.27,2,1,6,4,1,10
CUST0054,Devaran Haldar,devaran.haldar@gmail.com,39,10,2,71.1,11,11,0,Premium,792.46,1,1,8,3,0,56
CUST0055,Ariviit Suryanarayanan,ariviit.suryanarayanan@gmail.com,18,50,11,60.1,22,2,0,Basic,393.27,1,0,1,3,0,16
CUST0056,Shaeshav Fernandes,shaeshav.fernandes@gmail.com,4,46,9,41.1,33,17,0,Basic,1407.92,1,0,3,2,1,28
CUST0057,Vivenendra Chakraborty,vivenendra.chakraborty@gmail.com,25,56,24,74.7,36,9,0,Standard,795.32,0,0,3,2,0,28
CUST0058,Avieshika Keller,avieshika.keller@gmail.com,14,22,3,21.0,45,28,0,Standard,435.12,0,0,1,4,0,46
CUST0059,Aaitesh Ilangovan,aaitesh.ilangovan@gmail.com,50,54,27,108.3,23,28,1,Standard,592.11,1,1,2,3,1,10
CUST0060,Viveshika Mahadevan,viveshika.mahadevan@gmail.com,58,15,28,100.4,45,2,0,Basic,265.04,0,0,7,0,0,85
CUST0061,Rajeshya Kulasekaran,rajeshya.kulasekaran@gmail.com,9,30,29,41.5,45,29,1,Standard,807.79,2,1,8,1,0,27
CUST0062,Ariitesh Haldar,ariitesh.haldar@gmail.com,26,10,9,114.6,34,24,0,Basic,1308.07,0,1,5,4,0,58
CUST0063,Haryaa Parameswaran,haryaa.parameswaran@gmail.com,53,53,3,99.9,9,15,1,Basic,1412.65,0,1,9,1,0,24
CUST0064,Varavan Purohit,varavan.purohit@gmail.com,2,15,25,81.6,24,16,1,Premium,1411.38,2,0,1,0,1,50
CUST0065,Lakilav Gokhale,lakilav.gokhale@gmail.com,20,7,2,19.0,8,25,0,Standard,361.8,1,1,1,0,0,83
CUST0066,Rajviesh Kulasekaran,rajviesh.kulasekaran@gmail.com,28,3,12,60.0,7,4,0,Basic,695.67,0,0,6,1,0,89
CUST0067,Aaishira Mehra,aaishira.mehra@gmail.com,47,39,10,63.2,36,8,0,Standard,235.7,1,1,7,4,0,19
CUST0068,Ariarika Mehra,ariarika.mehra@gmail.com,7,3,9,31.7,18,9,0,Basic,1310.71,1,0,7,1,0,79
CUST0069,Saiyaant Ishikawa,saiyaant.ishikawa@gmail.com,44,55,15,14.2,3,26,1,Premium,665.38,0,0,5,4,1,10
CUST0070,Ishitika Andersson,ishitika.andersson@gmail.com,8,24,8,94.3,28,26,1,Basic,1019.45,0,0,9,4,0,29
CUST0071,Varavika Moretti,varavika.moretti@gmail.com,47,2,25,19.0,6,5,0,Basic,1128.37,1,0,7,2,0,72
CUST0072,Ariantesh Okafor,ariantesh.okafor@gmail.com,35,31,5,73.3,44,16,0,Standard,757.8,2,0,0,3,1,25
CUST0073,Krinaya Gokhale,krinaya.gokhale@gmail.com,14,2,11,112.7,44,13,0,Standard,597.38,0,1,8,3,0,74
CUST0074,Ishanini Haldar,ishanini.haldar@gmail.com,17,26,27,105.8,21,7,0,Standard,1449.88,2,0,0,0,0,54
CUST0075,Shaantika Kulasekaran,shaantika.kulasekaran@gmail.com,36,28,2,36.9,28,26,0,Basic,1452.83,2,0,2,2,0,36
CUST0076,Shaeshini Suryanarayanan,shaeshini.suryanarayanan@gmail.com,50,31,24,102.9,40,20,1,Basic,575.27,0,0,8,3,1,30
CUST0077,Yoganant Fernandes,yoganant.fernandes@gmail.com,40,49,28,5.0,1,17,1,Standard,822.51,1,0,4,4,1,10
CUST0078,Maneshan Mehra,maneshan.mehra@gmail.com,4,57,15,7.0,36,3,0,Basic,1463.7,0,0,8,4,1,11
CUST0079,Leel Almeida,leel.almeida@gmail.com,2,50,6,74.3,21,5,0,Premium,205.33,0,0,8,1,0,42
CUST0080,Yogitav Suryanarayanan,yogitav.suryanarayanan@gmail.com,6,18,8,47.0,43,19,0,Basic,735.48,1,0,5,1,0,64
CUST0081,Yogantika Moretti,yogantika.moretti@gmail.com,54,20,27,49.4,35,12,0,Standard,329.59,2,0,0,4,0,28
CUST0082,Vivarendra Suryanarayanan,vivarendra.suryanarayanan@gmail.com,42,4,5,69.9,13,29,0,Standard,860.91,1,1,9,4,0,54
CUST0083,Praarira Kulasekaran,praarira.kulasekaran@gmail.com,4,17,16,27.1,49,27,0,Basic,231.07,0,0,6,1,0,75
CUST0084,Yogavya Mehra,yogavya.mehra@gmail.com,54,27,26,29.4,10,7,1,Standard,727.97,0,1,5,3,0,34
CUST0085,Manena Moretti,manena.moretti@gmail.com,29,41,18,60.7,44,28,0,Premium,485.91,0,0,8,0,0,59
CUST0086,Saiitika Parameswaran,saiitika.parameswaran@gmail.com,18,21,6,91.7,47,9,0,Basic,892.3,0,0,6,1,0,71
CUST0087,Raus Keller,raus.keller@gmail.com,26,20,5,76.2,10,28,1,Premium,1493.79,0,0,3,3,0,41
CUST0088,Manishira Kulasekaran,manishira.kulasekaran@gmail.com,44,5,28,39.2,46,6,1,Standard,1239.7,0,0,6,3,0,56
CUST0089,Isharant Kowalski,isharant.kowalski@gmail.com,34,0,16,54.5,13,29,0,Basic,1298.33,0,1,1,3,0,76
CUST0090,Shaishit Chakraborty,shaishit.chakraborty@gmail.com,10,4,13,24.6,37,26,0,Standard,1024.84,1,1,5,2,0,70
CUST0091,Yogilit Keller,yogilit.keller@gmail.com,36,40,28,13.6,38,17,0,Basic,253.03,0,0,5,2,0,44
CUST0092,Shaitira Mehra,shaitira.mehra@gmail.com,14,11,5,95.0,24,16,1,Standard,467.84,0,0,1,3,0,50
CUST0093,Krinaika Fernandes,krinaika.fernandes@gmail.com,31,25,13,35.5,2,23,1,Premium,1401.58,0,0,3,4,0,28
CUST0094,Ariavira Haldar,ariavira.haldar@gmail.com,48,45,17,25.4,22,3,0,Premium,674.95,0,0,7,2,0,39
CUST0095,Kriarira Bhattacharya,kriarira.bhattacharya@gmail.com,15,33,18,84.5,17,21,0,Premium,333.73,0,0,7,1,0,59
CUST0096,Varilan Parameswaran,varilan.parameswaran@gmail.com,8,48,8,76.1,36,26,1,Premium,1112.13,0,1,7,2,1,21
CUST0097,Ariantya Mensah,ariantya.mensah@gmail.com,14,13,13,77.8,14,4,0,Standard,588.3,2,1,7,4,0,35
CUST0098,Viveshini Fernandes,viveshini.fernandes@gmail.com,23,25,29,31.3,10,10,0,Basic,548.51,0,1,0,0,0,75
CUST0099,Aviyaira Parameswaran,aviyaira.parameswaran@gmail.com,57,44,19,31.8,35,5,0,Standard,1496.37,1,1,1,2,0,30
CUST0100,Lakenika Raghunathan,lakenika.raghunathan@gmail.com,40,26,26,30.4,25,21,0,Basic,1314.58,3,1,3,3,0,20
CUST0101,Aaeshira Chakraborty,aaeshira.chakraborty@gmail.com,21,8,3,25.0,3,22,0,Standard,729.32,1,0,8,3,0,58
CUST0102,Soen Venkataraman,soen.venkataraman@gmail.com,16,25,24,80.4,47,10,1,Standard,1473.34,0,0,2,3,0,36
CUST0103,Krienan Almeida,krienan.almeida@gmail.com,45,56,8,102.5,38,12,1,Basic,1044.15,2,0,5,0,1,10
CUST0104,Kriitika Hernandez,kriitika.hernandez@gmail.com,18,46,2,88.3,17,10,0,Basic,1163.63,0,1,6,4,0,22
CUST0105,Yogyaendra Novak,yogyaendra.novak@gmail.com,47,56,8,96.1,12,29,0,Basic,239.97,0,1,7,1,0,36
CUST0106,Leis Raghunathan,leis.raghunathan@gmail.com,53,21,27,51.6,24,13,0,Standard,357.09,2,1,6,4,0,27
CUST0107,Krieshira Andersson,krieshira.andersson@gmail.com,24,46,13,80.2,29,11,0,Standard,1022.01,1,1,2,0,0,44
CUST0108,Sainait Raghunathan,sainait.raghunathan@gmail.com,26,55,13,45.7,43,22,0,Standard,1367.73,0,1,5,3,0,21
CUST0109,Neeeshesh Chakraborty,neeeshesh.chakraborty@gmail.com,25,29,1,65.4,25,16,1,Standard,1009.87,0,1,4,4,0,24
CUST0110,Neearav Purohit,neearav.purohit@gmail.com,45,42,6,60.4,36,8,0,Standard,373.23,0,0,9,1,0,50
CUST0111,Ariaran Ilangovan,ariaran.ilangovan@gmail.com,41,47,24,25.3,26,8,0,Basic,349.49,0,1,3,3,0,29
CUST0112,Ishishya Parameswaran,ishishya.parameswaran@gmail.com,29,16,19,49.5,38,27,0,Basic,1296.44,0,0,0,1,0,76
CUST0113,Surarav Novak,surarav.novak@gmail.com,15,25,16,115.8,1,25,1,Standard,380.09,3,0,6,2,1,14
CUST0114,Shaeshesh Chakraborty,shaeshesh.chakraborty@gmail.com,45,35,8,33.6,20,8,1,Standard,875.3,2,1,7,1,1,22
CUST0115,Ana Ishikawa,ana.ishikawa@gmail.com,1,0,28,20.4,28,13,1,Basic,247.25,2,1,1,3,1,41
CUST0116,Saiyaa Moretti,saiyaa.moretti@gmail.com,25,7,1,53.1,16,27,1,Basic,303.87,0,0,6,2,0,62
CUST0117,Lakeshant Keller,lakeshant.keller@gmail.com,7,48,27,95.9,47,2,0,Basic,1073.05,1,0,5,3,0,18
CUST0118,Aarenya Kowalski,aarenya.kowalski@gmail.com,9,34,27,71.9,17,12,0,Standard,1094.94,2,1,4,3,1,22
CUST0119,Neeanini Keller,neeanini.keller@gmail.com,24,51,16,83.3,40,10,0,Basic,642.91,2,0,3,2,1,13
CUST0120,Shanaya Almeida,shanaya.almeida@gmail.com,1,14,9,26.8,28,12,0,Standard,479.29,0,1,1,1,0,78
CUST0121,Sainaendra Petrescu,sainaendra.petrescu@gmail.com,44,46,13,76.2,12,11,0,Premium,1256.82,0,0,9,0,0,54
CUST0122,Varyaa Purohit,varyaa.purohit@gmail.com,8,55,11,42.2,27,15,0,Basic,481.23,0,0,5,0,0,45
CUST0123,Daia Kulasekaran,daia.kulasekaran@gmail.com,24,21,13,100.9,42,16,0,Premium,903.64,0,0,4,0,0,79
CUST0124,Kriishya Novak,kriishya.novak@gmail.com,11,13,25,77.4,47,17,0,Standard,1457.67,1,0,1,0,0,77
CUST0125,Viveshant Hernandez,viveshant.hernandez@gmail.com,51,25,21,27.9,30,26,0,Standard,391.21,1,0,9,4,0,33
CUST0126,Arinaesh Fernandes,arinaesh.fernandes@gmail.com,17,27,10,12.4,41,2,1,Standard,1422.14,0,1,6,0,0,58
CUST0127,Harilan Keller,harilan.keller@gmail.com,8,22,4,9.9,34,18,0,Standard,436.76,0,0,5,2,0,62
CUST0128,Neeavan Purohit,neeavan.purohit@gmail.com,35,13,27,47.7,37,12,0,Standard,936.68,0,0,8,0,0,87
CUST0129,Vivyaesh Parameswaran,vivyaesh.parameswaran@gmail.com,35,23,6,35.6,6,19,0,Standard,689.11,0,0,9,3,0,53
CUST0130,Tannaan Bhattacharya,tannaan.bhattacharya@gmail.com,33,1,28,79.3,7,26,0,Basic,1453.41,0,0,4,0,0,99
CUST0131,Joel Okafor,joel.okafor@gmail.com,59,44,7,62.4,32,23,0,Basic,554.6,1,1,8,1,0,38
CUST0132,Lakyaan Ilangovan,lakyaan.ilangovan@gmail.com,5,25,5,35.6,32,18,0,Basic,718.56,0,0,8,2,0,59
CUST0133,Harilika Venkataraman,harilika.venkataraman@gmail.com,42,13,11,22.2,25,17,0,Basic,1476.72,1,1,0,2,0,61
CUST0134,Tanilira Gokhale,tanilira.gokhale@gmail.com,39,58,13,19.6,33,6,0,Basic,896.41,0,0,4,4,0,10
CUST0135,Sureshant Kulasekaran,sureshant.kulasekaran@gmail.com,58,55,26,104.4,7,25,0,Basic,852.42,0,0,8,3,0,21
CUST0136,Maneshini Khatri,maneshini.khatri@gmail.com,41,50,25,33.0,12,15,0,Standard,534.11,0,0,6,2,0,34
CUST0137,Varanya Novak,varanya.novak@gmail.com,28,6,19,79.9,16,3,0,Premium,1110.77,2,0,5,1,0,66
CUST0138,Niia Mahadevan,niia.mahadevan@gmail.com,7,2,23,98.2,16,6,0,Premium,217.68,0,1,5,0,0,98
CUST0139,Elan Kowalski,elan.kowalski@gmail.com,9,46,10,75.6,43,3,0,Standard,263.37,1,0,6,2,0,28
CUST0140,Aarviesh Mahadevan,aarviesh.mahadevan@gmail.com,8,22,10,103.9,36,29,0,Standard,978.17,0,1,0,1,0,70
CUST0141,Praishesh Purohit,praishesh.purohit@gmail.com,12,45,11,50.1,13,1,0,Premium,643.18,2,0,3,0,0,35
CUST0142,Soer Almeida,soer.almeida@gmail.com,34,42,21,115.0,7,13,0,Standard,1438.31,1,1,0,4,0,16
CUST0143,Aviavit Kowalski,aviavit.kowalski@gmail.com,33,46,7,20.3,36,28,0,Basic,1373.15,0,1,5,2,0,38
CUST0144,Tanarini Suryanarayanan,tanarini.suryanarayanan@gmail.com,48,59,18,16.7,47,21,0,Premium,1126.82,1,0,3,2,0,15
CUST0145,Shanaant Bhattacharya,shanaant.bhattacharya@gmail.com,55,44,4,80.7,9,26,1,Standard,1262.59,0,0,0,1,0,33
CUST0146,Aner Balasubramaniam,aner.balasubramaniam@gmail.com,23,17,2,113.4,32,14,1,Standard,1066.53,2,1,8,3,1,24
CUST0147,Seo Mehra,seo.mehra@gmail.com,24,57,14,98.0,11,13,1,Basic,362.26,0,0,3,4,1,10
CUST0148,Praviant Gokhale,praviant.gokhale@gmail.com,37,37,13,13.8,8,27,0,Basic,1194.21,0,0,5,3,0,39
CUST0149,Rain Basu,rain.basu@gmail.com,35,34,29,37.1,33,4,0,Premium,472.25,1,0,6,2,0,40
CUST0150,Surenendra Fernandes,surenendra.fernandes@gmail.com,44,50,12,112.0,23,7,0,Standard,619.48,1,1,7,3,0,16
CUST0151,Devila Mehra,devila.mehra@gmail.com,40,14,7,34.1,25,22,0,Basic,1264.0,0,1,8,0,0,86
CUST0152,Aviishendra Venkataraman,aviishendra.venkataraman@gmail.com,22,24,2,94.8,8,10,0,Basic,896.48,1,0,8,4,0,34
CUST0153,Vivenika Khatri,vivenika.khatri@gmail.com,27,54,13,99.9,45,7,0,Standard,1316.92,0,0,7,3,0,22
CUST0154,Aailesh Kulasekaran,aailesh.kulasekaran@gmail.com,35,36,14,62.0,22,21,1,Standard,475.95,0,1,9,0,0,49
CUST0155,Kriviya Purohit,kriviya.purohit@gmail.com,1,27,27,49.4,4,15,0,Basic,989.11,1,0,2,1,0,55
CUST0156,Neearesh Gokhale,neearesh.gokhale@gmail.com,35,9,17,56.8,40,15,1,Premium,307.93,0,0,1,3,0,52
CUST0157,Yogava Almeida,yogava.almeida@gmail.com,37,38,9,31.1,3,4,0,Basic,1034.98,0,0,4,4,0,30
CUST0158,Noia Mahadevan,noia.mahadevan@gmail.com,47,56,17,107.3,29,23,0,Basic,1190.29,1,1,0,0,0,34
CUST0159,Rajesha Hernandez,rajesha.hernandez@gmail.com,14,16,8,56.8,41,23,0,Standard,959.41,0,0,2,3,0,60
CUST0160,Kriilesh Mehra,kriilesh.mehra@gmail.com,3,38,2,106.5,29,6,0,Basic,545.1,1,1,0,1,0,44
CUST0161,Yogenav Chakraborty,yogenav.chakraborty@gmail.com,1,21,28,17.2,34,24,1,Premium,239.75,0,0,2,3,1,40
CUST0162,Shaantya Ilangovan,shaantya.ilangovan@gmail.com,5,25,24,118.7,34,20,0,Standard,354.28,0,1,3,0,0,75
CUST0163,Manavira Gokhale,manavira.gokhale@gmail.com,26,43,13,56.0,28,26,0,Premium,1007.99,0,1,6,3,0,33
CUST0164,Rajeshendra Mehra,rajeshendra.mehra@gmail.com,55,24,3,10.5,13,5,1,Basic,1413.75,1,0,4,4,0,19
CUST0165,Saiantika Suryanarayanan,saiantika.suryanarayanan@gmail.com,14,16,16,9.4,15,20,0,Basic,467.49,1,0,4,2,0,58
CUST0166,Shaanendra Bhattacharya,shaanendra.bhattacharya@gmail.com,39,12,6,90.8,23,12,1,Basic,1154.53,0,0,0,0,0,73
CUST0167,Shanaav Balasubramaniam,shanaav.balasubramaniam@gmail.com,27,19,19,80.8,44,1,0,Standard,1325.39,0,0,7,0,0,81
CUST0168,Vivanya Parameswaran,vivanya.parameswaran@gmail.com,9,24,7,97.2,26,28,0,Standard,876.15,2,1,3,0,0,56
CUST0169,Mannaika Kulasekaran,mannaika.kulasekaran@gmail.com,15,3,10,17.1,4,8,0,Premium,1069.05,0,0,9,0,0,97
CUST0170,Kriitav Keller,kriitav.keller@gmail.com,15,9,9,9.1,26,1,0,Standard,1258.52,2,1,4,3,0,47
CUST0171,Varantant Keller,varantant.keller@gmail.com,26,2,2,63.5,40,5,0,Premium,537.88,0,0,1,4,0,66
CUST0172,Kriantesh Suryanarayanan,kriantesh.suryanarayanan@gmail.com,42,40,28,49.6,9,22,0,Standard,584.96,1,0,0,1,0,42
CUST0173,Praeshant Haldar,praeshant.haldar@gmail.com,13,44,28,58.1,5,6,1,Basic,199.82,0,0,8,4,1,10
CUST0174,Kaus Mahadevan,kaus.mahadevan@gmail.com,51,17,15,119.0,32,29,1,Basic,1451.02,2,0,1,0,0,48
CUST0175,Tanantan Almeida,tanantan.almeida@gmail.com,32,46,5,116.6,20,21,0,Standard,1391.81,1,0,5,3,0,20
CUST0176,Aaarant Keller,aaarant.keller@gmail.com,39,35,29,113.4,11,3,0,Basic,1192.94,0,1,0,3,0,41
CUST0177,Ariarant Basu,ariarant.basu@gmail.com,49,46,22,95.1,15,15,0,Basic,301.8,0,0,0,0,0,54
CUST0178,Varavav Balasubramaniam,varavav.balasubramaniam@gmail.com,52,21,4,45.8,32,5,0,Standard,780.75,1,0,8,3,0,45
CUST0179,Aviara Ilangovan,aviara.ilangovan@gmail.com,32,33,20,52.4,28,28,0,Premium,331.46,1,1,3,0,0,57
CUST0180,Seen Andersson,seen.andersson@gmail.com,4,46,4,68.2,22,24,0,Basic,219.7,0,1,8,4,1,22
CUST0181,Avianit Moretti,avianit.moretti@gmail.com,30,7,18,100.5,41,14,0,Premium,1000.04,0,0,4,2,0,77
CUST0182,Varishya Gokhale,varishya.gokhale@gmail.com,37,39,4,12.9,17,18,0,Premium,1448.08,1,0,6,3,0,27
CUST0183,Lakvia Basu,lakvia.basu@gmail.com,23,48,27,53.8,26,16,1,Standard,1372.73,0,0,0,0,0,37
CUST0184,Daus Purohit,daus.purohit@gmail.com,39,43,17,14.5,44,6,0,Basic,1104.78,1,1,5,0,0,47
CUST0185,Krivian Moretti,krivian.moretti@gmail.com,45,18,12,64.2,7,25,0,Basic,324.63,0,1,7,3,0,58
CUST0186,Krieshav Raghunathan,krieshav.raghunathan@gmail.com,15,41,22,108.4,42,24,0,Standard,555.41,2,1,0,1,0,31
CUST0187,Saianika Ilangovan,saianika.ilangovan@gmail.com,43,40,17,95.0,26,14,0,Standard,615.07,2,1,8,0,0,40
CUST0188,Maneshendra Fernandes,maneshendra.fernandes@gmail.com,29,36,10,31.2,25,27,0,Premium,1191.1,3,0,2,3,1,10
CUST0189,Niin Suryanarayanan,niin.suryanarayanan@gmail.com,36,5,22,117.2,10,24,0,Standard,1241.92,0,1,0,0,0,95
CUST0190,Alus Venkataraman,alus.venkataraman@gmail.com,13,51,1,81.7,45,8,1,Basic,699.64,2,0,0,1,1,10
CUST0191,Aaeshan Bhattacharya,aaeshan.bhattacharya@gmail.com,32,25,22,6.2,19,29,0,Basic,742.25,0,0,5,2,0,59
CUST0192,Pranaira Mensah,pranaira.mensah@gmail.com,7,33,26,34.4,11,7,0,Standard,256.86,0,0,5,1,0,59
CUST0193,Ariesha Andersson,ariesha.andersson@gmail.com,59,58,24,35.0,13,8,1,Basic,574.88,0,1,0,4,1,10
CUST0194,Yogaresh Purohit,yogaresh.purohit@gmail.com,51,55,27,13.0,8,13,1,Basic,785.67,0,1,2,3,1,10
CUST0195,Joo Andersson,joo.andersson@gmail.com,22,58,18,115.4,40,6,0,Standard,351.08,2,0,6,1,0,14
CUST0196,Varviika Raghunathan,varviika.raghunathan@gmail.com,28,44,18,60.0,4,18,0,Basic,788.25,0,1,9,2,0,40
CUST0197,Lakitesh Andersson,lakitesh.andersson@gmail.com,2,5,14,108.0,47,2,0,Basic,1308.13,1,1,2,0,0,85
CUST0198,Ishenya Mehra,ishenya.mehra@gmail.com,42,36,15,42.1,31,8,0,Standard,954.72,1,0,2,3,0,30
CUST0199,Lakesha Khatri,lakesha.khatri@gmail.com,45,56,29,19.4,28,11,0,Basic,301.61,1,0,2,1,0,26
